,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
u_slope_raw_gpt2_surprisal[16],0.421,0.892,-1.302,2.05,0.01,0.01,8049.391,6304.732,1.0
u_slope_raw_gpt2_surprisal[17],0.599,0.833,-0.975,2.141,0.009,0.01,8440.752,6015.97,1.0
u_slope_raw_gpt2_surprisal[18],0.081,1.002,-1.805,1.968,0.012,0.011,7448.49,5675.553,1.0
u_slope_raw_gpt2_surprisal[19],0.268,0.789,-1.25,1.722,0.009,0.008,8145.483,6579.82,1.0
u_slope_raw_gpt2_surprisal[20],0.136,0.821,-1.424,1.653,0.009,0.01,7608.081,5923.013,1.0
u_slope_raw_gpt2_surprisal[21],-1.143,0.791,-2.598,0.408,0.009,0.01,7767.024,5494.813,1.0
u_slope_raw_gpt2_surprisal[22],0.149,0.852,-1.428,1.759,0.009,0.01,8413.531,6077.95,1.0
u_slope_raw_gpt2_surprisal[23],0.735,0.784,-0.705,2.208,0.009,0.008,8308.826,6130.961,1.0
u_slope_raw_gpt2_surprisal[24],-0.355,0.807,-1.805,1.196,0.009,0.009,8182.292,5716.422,1.0
u_slope_raw_gpt2_surprisal[25],-0.071,0.842,-1.651,1.527,0.01,0.009,7373.833,5595.14,1.0
u_slope_raw_gpt2_surprisal[26],-0.375,0.774,-1.846,1.073,0.009,0.008,7163.859,5987.028,1.0
u_slope_raw_gpt2_surprisal[27],-0.167,0.906,-1.863,1.522,0.01,0.01,8057.737,5729.061,1.0
u_slope_raw_gpt2_surprisal[28],0.074,0.829,-1.538,1.6,0.009,0.01,8342.054,5973.302,1.0
u_slope_raw_gpt2_surprisal[29],-0.106,0.82,-1.607,1.446,0.011,0.009,5890.139,5779.183,1.0
u_slope_raw_gpt2_surprisal[30],-0.344,0.846,-1.968,1.177,0.009,0.009,8671.496,6198.584,1.0
u_slope_raw_gpt2_surprisal[31],0.237,0.837,-1.383,1.796,0.009,0.009,7882.716,5817.026,1.0
u_slope_raw_gpt2_surprisal[32],0.343,0.793,-1.094,1.868,0.009,0.009,6983.771,5423.915,1.0
u_slope_raw_gpt2_surprisal[33],-0.445,0.857,-2.059,1.169,0.008,0.01,10329.641,6125.65,1.0
u_slope_raw_gpt2_surprisal[34],-0.576,0.826,-2.156,0.98,0.01,0.009,7523.941,5678.324,1.0
u_slope_raw_gpt2_surprisal[35],0.305,0.702,-1.049,1.583,0.008,0.008,7761.743,5754.623,1.001
u_slope_raw_gpt2_surprisal[36],0.013,0.796,-1.463,1.542,0.009,0.009,8399.203,5908.767,1.0
